category,material,material_cost,labour_cost,size,weight,market_min,market_avg,market_max,demand_score,price
Jute Bag,Bamboo,240,302,26.18,4.27,2945.21,3477,3974.81,0.52,3125.08
Embroidered Cloth,Beads,1396,735,10.34,3.11,2507.1,3051,3397.41,0.44,4772.76
Terracotta,Silk,1249,1112,21.15,4.07,1634.53,2040,2453.87,0.27,4469.93
Cane Furniture,Terracotta,85,734,15.69,0.45,417.32,549,698.14,0.22,1451.51
Embroidered Cloth,Wood,624,1198,51.14,4.32,1895.19,2502,3141.64,0.49,4452.24
Handloom Saree,Jute,313,1126,19.93,4.83,978.78,1276,1356.29,0.63,3228.97
Bamboo Basket,Clay,685,1179,22.76,4.0,819.97,980,1211.29,0.4,3407.73
Handmade Jewellery,Cotton,840,1062,8.2,4.58,3177.79,3972,4715.98,0.77,4999.45
Cane Furniture,Cotton,839,910,28.08,1.31,1429.78,1829,1975.4,0.47,3689.34
Handloom Saree,Jute,143,1007,43.7,2.42,2179.96,2415,3022.92,0.48,3464.35
Handmade Jewellery,Beads,1173,851,19.35,0.17,3300.43,3880,4904.8,0.73,5051.64
Bamboo Basket,Brass,385,307,6.46,2.97,3364.06,3696,4506.5,0.66,3259.71
Handloom Saree,Wood,1490,1116,15.77,0.44,1469.3,1780,1886.34,0.69,4664.67
Cane Furniture,Jute,139,825,26.2,3.44,2938.6,3219,3606.77,0.29,3454.51
Metal Craft,Bamboo,778,1070,20.51,0.97,2292.27,2654,3168.83,0.79,4388.28
Bamboo Basket,Clay,1058,145,23.74,4.66,148.38,186,226.91,0.79,2026.72
Jute Bag,Bamboo,778,446,54.25,2.01,513.23,545,687.67,0.48,2201.66
Bamboo Basket,Wood,1440,193,29.66,1.54,2793.96,3246,3580.93,0.96,4272.26
Handloom Saree,Beads,1259,984,59.78,0.37,3138.8,3384,3850.07,0.29,5169.04
Terracotta,Beads,1003,541,52.68,4.21,1199.09,1347,1438.85,0.86,3287.49
Handloom Saree,Silk,388,549,18.02,4.55,1327.6,1474,1686.35,0.27,2348.67
Embroidered Cloth,Cane,140,763,54.85,0.64,2940.3,3672,4227.58,0.66,3763.63
Terracotta,Cane,1074,436,37.09,4.81,1153.32,1364,1460.47,0.62,3220.08
Handloom Saree,Silk,107,734,58.34,0.31,1002.98,1322,1693.69,0.94,2477.68
Terracotta,Clay,96,705,45.54,4.58,1412.94,1503,1912.67,0.56,2314.48
Handloom Saree,Brass,1195,725,30.5,1.83,2730.03,3399,3875.15,0.41,4628.8
Terracotta,Jute,510,781,19.9,0.75,3445.86,3768,4851.11,0.78,4131.94
Terracotta,Clay,59,873,53.22,2.8,889.71,1178,1347.77,0.85,2344.27
Embroidered Cloth,Jute,154,1172,12.36,0.17,2787.29,3020,3784.74,1.0,3956.16
Embroidered Cloth,Wood,1096,1046,44.94,3.81,185.48,232,269.73,0.3,3337.61
Jute Bag,Jute,537,83,24.7,0.66,1997.49,2351,2748.44,0.87,2496.39
Pottery,Jute,1127,285,35.85,4.4,1734.25,1998,2337.68,0.54,3368.37
Wooden Craft,Cane,1495,813,58.93,3.08,2578.58,2995,3212.89,0.78,5298.25
Terracotta,Silk,1033,1069,21.39,2.67,2141.1,2278,2475.66,0.94,4339.05
Metal Craft,Cotton,595,102,24.11,1.12,153.22,192,205.24,0.3,1203.19
Cane Furniture,Silk,949,409,43.31,2.12,1720.84,2037,2478.8,0.34,3164.29
Embroidered Cloth,Cotton,887,694,30.34,1.11,2127.88,2743,3106.52,0.46,3811.9
Handmade Jewellery,Terracotta,96,1194,42.83,2.61,239.15,256,272.71,0.42,2344.47
Bamboo Basket,Brass,775,575,39.0,1.91,3073.03,3437,3662.42,0.32,4023.87
Wooden Craft,Cane,1076,968,33.14,2.71,2933.99,3495,4135.12,0.39,4880.39
Handmade Jewellery,Cane,1346,135,23.01,0.69,1917.13,2342,2736.61,0.48,3300.27
Terracotta,Clay,160,277,34.54,2.98,3466.63,3997,4760.89,0.5,3206.52
Pottery,Brass,364,926,23.17,4.68,1240.27,1610,1752.03,0.4,2942.33
Bamboo Basket,Brass,872,808,7.84,0.19,357.77,378,407.49,0.52,2574.54
Metal Craft,Silk,996,623,56.12,2.83,1322.93,1565,1971.35,0.36,3442.77
Handmade Jewellery,Silk,885,773,32.92,1.29,631.14,708,879.3,0.27,2883.81
Wooden Craft,Jute,951,739,29.98,2.79,1728.19,1823,2061.06,0.85,3670.88
Jute Bag,Cotton,378,834,11.42,2.42,3138.86,3771,4288.45,0.94,4133.06
Terracotta,Clay,637,562,45.76,2.91,1817.14,2005,2520.26,0.8,3133.52
Wooden Craft,Cotton,1238,54,17.96,3.21,2277.11,2771,3517.23,0.51,3433.31
Wooden Craft,Silk,1096,624,32.65,1.24,1157.96,1398,1653.78,0.25,3354.12
Metal Craft,Wood,1112,247,56.69,3.18,2139.88,2751,3434.64,0.7,3841.1
Bamboo Basket,Silk,1170,1070,18.67,3.75,1128.63,1427,1753.09,0.6,4098.77
Handmade Jewellery,Jute,1191,855,34.51,1.96,1589.77,2050,2356.11,0.84,4217.34
Pottery,Wood,804,843,18.85,1.79,150.69,160,181.7,0.38,2463.8
Cane Furniture,Beads,351,412,13.43,2.97,2429.85,3155,3514.68,0.78,3043.07
Bamboo Basket,Cotton,937,176,13.39,2.92,2748.86,3599,3848.52,0.28,3625.14
Terracotta,Silk,828,863,17.97,0.91,2028.0,2617,3350.31,0.9,4249.1
Handloom Saree,Terracotta,1382,251,49.16,0.12,839.32,1086,1252.84,0.89,3185.06
Embroidered Cloth,Clay,1283,524,45.56,2.32,823.15,1088,1390.67,0.4,3199.93
Handloom Saree,Brass,1234,226,47.93,1.46,2154.75,2863,3481.08,0.34,3786.67
Bamboo Basket,Terracotta,738,197,27.8,0.52,1474.64,1874,2108.06,0.45,2378.54
Metal Craft,Wood,1391,81,30.75,3.16,1393.28,1650,1965.5,0.25,2884.59
Wooden Craft,Clay,243,551,29.24,2.06,1671.58,1851,1991.2,0.47,2410.79
Handmade Jewellery,Beads,211,136,58.84,4.21,3185.01,3612,3817.07,0.38,2880.05
Metal Craft,Cane,492,377,10.73,4.02,2574.72,2776,3301.16,0.78,3145.97
Bamboo Basket,Bamboo,214,231,16.27,1.54,838.75,1093,1320.68,0.79,1565.8
Handloom Saree,Wood,1454,964,37.07,2.16,618.0,663,799.7,0.47,3838.07
Cane Furniture,Bamboo,310,854,27.52,2.81,3178.87,3447,3808.51,0.98,4040.12
Metal Craft,Jute,763,681,59.2,2.41,739.01,885,934.22,0.41,2987.79
Cane Furniture,Terracotta,1351,543,59.14,2.68,2957.85,3330,4065.25,0.86,4895.12
Handloom Saree,Beads,1429,90,20.07,2.82,2866.19,3374,4150.19,0.29,3970.27
Embroidered Cloth,Brass,659,317,39.82,2.52,2894.73,3103,3583.01,0.51,3296.79
Handmade Jewellery,Clay,1069,868,9.97,3.88,147.36,178,199.75,0.48,2853.46
Wooden Craft,Silk,147,104,41.5,4.69,1918.74,2266,2532.2,0.63,2132.77
Wooden Craft,Wood,1317,1007,57.54,0.86,2168.23,2398,2581.81,0.26,4701.78
Metal Craft,Beads,74,1112,9.18,0.48,228.46,257,287.34,0.67,2182.7
Wooden Craft,Cotton,1117,866,12.53,4.76,1314.33,1670,1979.74,0.9,4031.0
Cane Furniture,Cotton,423,1025,51.71,1.32,1109.72,1262,1543.8,0.24,3019.63
Handmade Jewellery,Beads,1089,760,59.96,2.82,3085.75,3307,3500.41,0.76,4817.66
Pottery,Cane,643,1039,8.02,2.33,1479.91,1616,1711.75,0.68,3423.52
Wooden Craft,Clay,180,854,34.16,2.26,2426.57,3180,3589.66,0.63,3500.22
Pottery,Jute,65,542,38.87,1.24,387.5,460,596.89,0.2,1423.12
Pottery,Wood,1112,863,24.29,3.86,474.21,626,732.39,0.66,3281.3
Terracotta,Cane,389,438,45.27,0.12,2996.37,3650,4094.61,0.44,3300.37
Handloom Saree,Terracotta,481,754,55.07,0.32,453.12,548,668.51,0.37,2285.67
Metal Craft,Brass,60,1135,38.74,0.92,2106.64,2761,3176.24,0.87,3555.49
Embroidered Cloth,Cotton,1316,1180,14.71,1.18,2777.29,2950,3706.83,0.84,5160.1
Terracotta,Wood,1093,468,46.7,3.51,2242.85,2413,2813.18,0.7,3878.4
Terracotta,Terracotta,629,1001,19.61,0.73,2936.85,3870,4888.0,0.23,4521.99
Pottery,Brass,1197,1024,5.28,3.51,1145.54,1349,1443.78,0.38,3877.43
Handloom Saree,Jute,1187,1113,53.56,2.63,2115.33,2312,2628.63,0.74,4685.08
Embroidered Cloth,Brass,1220,385,41.21,4.27,2965.65,3792,4298.24,0.39,4575.45
Handloom Saree,Beads,405,240,43.44,1.03,2157.99,2330,2954.35,0.22,2376.86
Handloom Saree,Cane,131,405,35.59,3.81,1274.92,1697,1903.63,0.69,2121.45
Jute Bag,Terracotta,66,409,19.29,3.21,2789.64,3053,3303.69,0.43,2615.86
Pottery,Cotton,1038,327,56.55,3.47,1329.34,1415,1544.61,0.82,3065.15
Jute Bag,Beads,935,754,8.19,0.47,2224.81,2407,3113.15,0.98,3840.41
Cane Furniture,Jute,928,128,50.03,1.34,1809.27,2156,2411.28,1.0,3088.05
Jute Bag,Wood,446,88,33.99,4.15,991.1,1248,1336.1,0.74,1727.62
Jute Bag,Brass,1038,70,55.02,4.3,193.28,233,260.62,0.99,2217.22
Jute Bag,Beads,983,1058,40.84,1.91,1219.18,1444,1712.31,0.33,3800.69
Pottery,Bamboo,248,436,48.82,1.54,1596.5,1709,2057.91,0.84,2250.42
Terracotta,Cane,1346,570,16.03,2.51,2532.47,2923,3265.72,0.84,4430.71
Metal Craft,Cotton,323,387,31.4,3.04,1513.36,1717,2127.82,0.96,2228.96
Terracotta,Brass,828,263,46.2,0.82,2638.32,2785,3023.46,0.6,3440.15
Handmade Jewellery,Brass,291,51,34.38,4.42,1588.19,2099,2245.18,0.52,2063.19
Pottery,Silk,920,139,42.92,4.02,2419.53,3191,3885.35,0.96,3796.41
Terracotta,Clay,765,1157,23.67,4.09,1944.29,2204,2618.9,0.68,4299.29
Embroidered Cloth,Beads,944,564,7.24,0.9,124.91,163,173.61,0.4,2147.58
Cane Furniture,Cotton,744,337,32.4,2.82,2739.71,3111,3525.01,0.63,3460.84
Wooden Craft,Beads,804,84,17.13,2.15,1106.12,1380,1608.6,0.89,2346.89
Bamboo Basket,Cotton,565,781,25.41,4.94,2016.99,2349,2768.29,0.67,3587.7
Handmade Jewellery,Cotton,915,627,37.87,3.99,357.58,444,531.95,0.93,2838.48
Metal Craft,Cotton,960,916,47.68,2.09,492.78,627,695.58,0.98,3262.95
Cane Furniture,Cotton,886,1054,29.04,0.58,444.7,530,624.71,0.49,3058.98
Terracotta,Terracotta,77,115,52.19,0.14,1467.41,1622,1756.17,0.98,1680.01
Handmade Jewellery,Wood,679,319,23.2,2.3,2784.88,3041,3520.63,0.4,3357.92
Embroidered Cloth,Bamboo,1357,1194,38.3,1.85,2893.87,3425,4319.07,0.84,5772.4
Embroidered Cloth,Bamboo,383,1018,34.21,4.69,2628.73,2994,3311.89,0.34,4045.2
Bamboo Basket,Cotton,291,175,57.35,3.23,1176.06,1358,1512.21,0.62,1912.81
Cane Furniture,Silk,200,433,12.3,0.8,1674.8,2119,2581.7,0.98,2405.84
Embroidered Cloth,Cotton,135,360,58.82,1.93,3087.7,3635,4378.22,0.9,3172.13
Metal Craft,Jute,637,1036,56.2,3.48,2608.63,2998,3853.09,0.86,4532.9
Pottery,Clay,753,624,58.74,2.09,753.71,837,897.78,0.43,2837.04
Bamboo Basket,Clay,1454,1175,22.99,3.37,3418.76,3675,4665.31,0.45,5770.54
Embroidered Cloth,Cane,774,1138,25.16,2.04,880.61,1066,1265.48,0.68,3577.66
Jute Bag,Wood,151,916,14.26,3.25,936.24,1111,1272.04,0.89,2287.72
Handloom Saree,Beads,714,61,13.19,2.68,2717.52,3172,3812.67,0.81,3269.14
Embroidered Cloth,Clay,413,940,33.67,4.13,2116.26,2816,3412.62,0.92,3902.83
Bamboo Basket,Cotton,190,519,15.7,0.92,891.91,1113,1247.92,0.45,1790.67
Wooden Craft,Brass,1217,155,38.57,3.61,2319.93,2786,3010.19,0.34,3540.99
Cane Furniture,Brass,1314,494,19.11,4.82,1247.04,1625,2037.65,0.5,3618.48
Handmade Jewellery,Cane,1191,775,37.64,3.99,1706.02,1956,2254.79,0.87,4139.4
Handmade Jewellery,Cotton,99,713,50.24,2.18,3121.45,3423,4250.22,0.32,3416.02
Cane Furniture,Clay,630,736,17.94,4.36,652.13,822,882.77,0.22,2614.38
Handmade Jewellery,Terracotta,639,1150,37.7,2.53,739.71,919,1102.12,0.74,3480.41
Handmade Jewellery,Silk,686,508,59.52,0.73,3266.66,3752,4255.92,0.92,4106.04
Handloom Saree,Jute,122,697,25.18,1.78,2441.38,3196,3770.53,0.25,3177.09
Handloom Saree,Cotton,825,116,34.31,1.69,2742.47,3480,3699.53,0.5,3281.88
Embroidered Cloth,Beads,502,336,46.52,0.94,2165.68,2815,3272.7,0.8,3046.76
Jute Bag,Brass,1029,564,55.99,1.25,469.58,497,524.34,0.79,2781.08
Handloom Saree,Bamboo,455,1027,48.33,4.34,1063.48,1162,1447.28,0.77,3240.66
Bamboo Basket,Jute,163,798,24.81,0.53,1723.27,2160,2543.25,0.86,2894.95
Pottery,Cane,311,455,32.33,4.96,2751.31,3322,3904.31,0.52,3253.84
Embroidered Cloth,Clay,1231,183,12.77,1.14,2870.89,3747,4311.84,0.34,3954.07
Bamboo Basket,Clay,315,842,31.36,1.64,206.77,244,293.18,0.81,2221.74
Bamboo Basket,Wood,532,951,13.05,1.9,3055.32,3613,4250.79,0.39,4218.44
Bamboo Basket,Clay,1038,496,40.25,1.16,350.82,403,459.9,0.51,2478.69
Handloom Saree,Wood,827,394,8.2,4.97,1246.18,1426,1603.31,0.54,2633.37
Cane Furniture,Jute,1333,834,17.8,1.18,3010.99,3442,4067.62,0.54,5058.3
Handloom Saree,Bamboo,817,532,25.23,2.13,1334.36,1699,1948.36,0.97,3100.58
Handloom Saree,Silk,791,710,46.82,0.77,1394.57,1596,1804.88,0.87,3296.19
Handloom Saree,Cotton,387,222,7.34,1.92,555.3,646,751.68,0.88,1487.69
Bamboo Basket,Clay,673,643,31.18,1.94,1483.36,1609,1847.29,0.96,3014.5
Jute Bag,Terracotta,241,66,41.23,4.72,2806.53,3351,3731.9,0.87,2954.0
Pottery,Brass,775,249,17.48,4.46,931.12,1005,1081.81,0.99,2300.21
Cane Furniture,Cotton,1081,894,7.09,3.76,2756.49,3606,3850.54,0.21,4663.56
Bamboo Basket,Wood,1464,548,15.19,0.95,1233.13,1434,1803.45,0.25,3469.23
Handmade Jewellery,Silk,1041,417,58.23,1.55,3173.52,3989,5161.76,0.73,4553.88
Terracotta,Beads,168,239,54.27,1.68,3150.98,3897,5046.59,0.68,3142.06
Handloom Saree,Clay,572,571,23.6,4.65,1830.23,2380,2722.72,0.64,3136.87
Bamboo Basket,Bamboo,1245,735,5.7,4.96,2117.69,2319,2934.33,0.88,4241.21
Terracotta,Clay,198,1071,30.33,4.23,3085.26,3581,3921.73,0.24,4106.32
Terracotta,Silk,909,819,12.25,3.66,407.39,432,506.35,0.32,2693.07
Embroidered Cloth,Cotton,1426,745,38.66,0.62,152.7,172,218.15,0.71,3253.12
Handmade Jewellery,Beads,178,564,59.55,0.59,1293.57,1397,1696.5,0.45,2206.17
Handloom Saree,Cane,972,1139,24.55,3.94,2305.48,2697,3403.65,0.87,4817.4
Bamboo Basket,Wood,1064,1143,53.22,4.98,1926.26,2329,2820.05,0.82,4859.68
Embroidered Cloth,Wood,1227,871,43.26,0.12,1750.85,2235,2448.06,0.51,4389.81
Wooden Craft,Brass,385,747,35.88,2.85,2510.61,2963,3555.13,0.68,3555.45
Wooden Craft,Jute,1392,260,8.22,1.74,653.96,691,761.8,0.86,2634.08
Cane Furniture,Jute,1256,530,9.87,1.18,2694.41,2960,3675.28,0.79,4274.65
Embroidered Cloth,Jute,450,247,39.99,3.95,1916.31,2160,2803.21,0.8,2618.64
Handmade Jewellery,Clay,1022,303,37.26,3.52,1858.36,2050,2181.27,0.88,3220.71
Handmade Jewellery,Wood,630,98,28.93,4.69,1982.9,2553,2732.09,0.78,2566.92
Terracotta,Bamboo,858,735,38.56,0.76,3517.55,3764,4396.41,0.21,4395.37
Metal Craft,Beads,463,952,18.58,4.54,738.02,781,892.53,0.54,2653.47
Terracotta,Bamboo,645,299,35.91,1.8,698.23,839,953.81,0.92,2207.9
Pottery,Brass,1276,993,56.53,0.36,2440.38,2689,3243.22,0.6,4810.81
Jute Bag,Wood,420,902,38.47,1.81,433.03,574,706.02,0.53,2511.87
Terracotta,Cane,647,1064,34.98,4.9,665.7,722,888.57,0.25,3064.59
Embroidered Cloth,Silk,659,891,14.12,4.73,2643.8,3333,3580.94,0.89,4490.92
Wooden Craft,Cane,1159,637,8.43,2.61,1748.32,2129,2756.02,0.84,3690.39
Handloom Saree,Bamboo,1227,432,46.71,3.8,1445.9,1828,2320.57,0.9,3693.86
Terracotta,Brass,107,1099,35.69,2.81,1629.11,1933,2469.03,0.63,3059.85
Bamboo Basket,Cane,650,428,25.92,3.9,359.84,456,500.09,0.28,1945.84
Terracotta,Bamboo,534,1145,48.89,2.04,1967.52,2117,2498.16,0.56,3750.52
Wooden Craft,Wood,332,89,32.89,3.03,915.89,1164,1482.35,0.72,1621.17
Handloom Saree,Bamboo,1039,1015,58.23,4.3,2591.91,2846,3347.75,0.97,4938.74
Handloom Saree,Clay,1333,973,53.51,2.19,307.28,396,483.8,0.27,3593.87
Bamboo Basket,Terracotta,979,1071,45.23,1.02,2992.78,3698,4731.78,0.29,5072.15
Terracotta,Cotton,1299,1031,50.55,1.74,906.72,1135,1223.8,0.27,4076.67
Jute Bag,Cotton,595,90,45.68,1.04,1098.53,1248,1504.13,0.48,1901.14
Wooden Craft,Jute,773,942,42.19,1.69,814.58,1085,1324.15,0.33,3291.01
Bamboo Basket,Jute,1017,904,9.24,1.77,503.85,591,665.66,0.37,3095.2
Jute Bag,Cane,442,894,54.44,3.29,702.9,795,946.14,0.29,2642.32
Metal Craft,Silk,191,661,25.99,0.73,1731.9,1832,1974.31,0.54,2437.65
Terracotta,Wood,996,948,46.47,4.04,1068.44,1129,1360.82,0.65,3708.06
Cane Furniture,Terracotta,836,992,29.74,1.17,1381.6,1610,1729.36,0.39,3584.03
Terracotta,Cotton,1050,383,45.88,0.34,200.82,217,275.44,0.46,2274.99
Embroidered Cloth,Terracotta,1200,744,34.22,4.21,1989.98,2629,3143.5,1.0,4534.12
Handloom Saree,Bamboo,1062,1108,50.61,4.41,2481.02,3286,4020.79,0.27,5171.3
Embroidered Cloth,Terracotta,708,75,14.07,0.94,2392.19,2730,3270.33,0.76,2805.82
Bamboo Basket,Silk,125,628,40.87,4.76,1127.51,1335,1730.11,0.42,2048.52
Embroidered Cloth,Silk,263,622,30.99,0.32,3086.58,3869,4516.71,0.56,3811.37
Wooden Craft,Bamboo,702,750,5.3,0.14,1249.41,1363,1718.72,0.43,2789.65
Cane Furniture,Cotton,753,367,26.82,0.32,2015.45,2430,2604.41,0.69,3089.35
Cane Furniture,Cane,1114,446,42.15,0.32,819.77,1056,1181.33,0.52,2865.3
Wooden Craft,Brass,505,1006,44.27,3.08,2801.14,3461,4255.67,0.96,4541.25
Cane Furniture,Cane,899,1039,49.02,3.35,2076.42,2682,3097.0,0.8,4607.06
Jute Bag,Beads,704,90,56.79,3.38,223.34,254,323.09,0.68,1569.7
Terracotta,Terracotta,820,1157,40.08,3.73,1357.13,1778,2104.25,0.31,3970.96
Jute Bag,Terracotta,317,468,29.69,0.51,1629.79,2148,2321.45,0.65,2659.77
Terracotta,Silk,326,1180,28.65,3.4,449.86,524,663.09,0.67,2679.6
Pottery,Wood,244,896,46.76,0.58,2855.79,3296,3766.65,0.68,3860.73
Cane Furniture,Clay,489,982,40.52,0.32,804.43,982,1069.02,0.22,2852.44
Pottery,Wood,1056,175,37.78,0.6,631.59,725,827.33,0.37,2239.95
Bamboo Basket,Jute,886,975,6.51,2.58,1765.7,2272,2442.0,0.37,3945.12
Handmade Jewellery,Wood,311,174,30.22,1.52,2459.65,2682,3064.45,0.5,2206.31
Pottery,Terracotta,418,846,20.86,4.81,1265.1,1673,2162.66,0.82,2978.73
Handloom Saree,Cotton,354,723,14.26,1.31,2128.74,2540,2858.98,0.41,2962.8
Cane Furniture,Bamboo,1458,532,13.28,4.1,950.76,1145,1486.74,0.9,3554.79
Metal Craft,Silk,811,836,16.07,2.04,1341.19,1457,1788.79,0.93,3399.0
Pottery,Silk,1213,295,12.19,3.97,475.97,625,762.62,0.57,2511.54
Handmade Jewellery,Silk,932,196,33.21,0.56,2783.81,3017,3611.9,0.5,3323.18
Metal Craft,Cane,448,764,55.53,1.88,3402.6,3686,4774.05,0.53,4031.42
Wooden Craft,Bamboo,952,414,31.21,4.98,1853.56,2013,2334.65,0.88,3378.55
Cane Furniture,Clay,529,71,42.82,3.64,3239.57,3787,4575.21,0.72,3400.79
Pottery,Terracotta,745,106,48.64,4.95,3179.34,3591,4514.31,0.44,3545.0
Handloom Saree,Brass,697,237,41.22,3.85,3468.36,3897,4193.57,0.52,3820.66
Pottery,Bamboo,463,1148,24.19,0.64,291.64,337,412.64,0.2,2488.33
Pottery,Beads,1453,371,9.01,2.07,1828.45,2308,2921.58,0.52,3876.15
Cane Furniture,Brass,1100,782,37.08,4.23,2730.88,3110,4026.66,0.68,4747.98
Embroidered Cloth,Jute,232,1096,52.68,2.32,3241.71,3705,3956.73,0.75,4250.11
Pottery,Bamboo,102,457,20.95,2.86,1912.96,2457,3056.11,0.42,2252.42
Pottery,Brass,403,1148,19.94,2.07,1210.54,1614,1900.94,0.24,3199.19
Embroidered Cloth,Silk,258,1161,51.16,0.12,2365.86,2522,2700.25,0.94,3812.48
Terracotta,Clay,477,661,54.9,4.72,1170.58,1256,1437.28,0.97,2853.4
Handloom Saree,Jute,520,267,36.05,4.66,3518.55,3950,4151.81,0.33,3634.26
Jute Bag,Brass,572,480,56.92,1.42,2784.93,3176,4128.38,0.28,3580.97
Embroidered Cloth,Cane,589,1073,28.8,2.34,1605.58,1831,2275.37,0.2,3457.05
Handloom Saree,Bamboo,80,947,16.66,3.32,1462.43,1632,1977.87,0.84,2750.36
Cane Furniture,Clay,825,323,45.54,4.88,902.81,1089,1337.62,0.36,2467.97
Wooden Craft,Terracotta,98,167,48.01,2.76,1997.12,2250,2498.56,0.93,2181.87
Pottery,Silk,917,447,27.75,2.52,1883.44,2308,2946.2,0.41,3388.69
Handmade Jewellery,Beads,279,168,47.57,3.89,1786.27,2301,2909.11,0.66,2364.44
Handmade Jewellery,Terracotta,1494,714,47.52,2.64,2593.83,2953,3521.93,0.65,4990.92
Bamboo Basket,Wood,506,209,54.42,3.94,2364.88,2926,3223.79,0.32,3106.38
Metal Craft,Wood,538,206,18.56,2.47,953.95,1252,1524.82,0.67,2155.4
Embroidered Cloth,Terracotta,1163,411,54.28,4.25,2340.74,2704,2938.55,0.85,4129.08
Metal Craft,Bamboo,1056,912,42.08,1.37,1148.04,1222,1386.16,0.78,3649.11
Pottery,Beads,54,410,29.62,0.76,2547.03,3143,3898.18,0.48,2657.6
Handmade Jewellery,Cotton,502,647,46.85,2.78,2090.57,2499,2651.38,0.33,3150.49
Jute Bag,Jute,380,382,34.0,2.02,3498.11,3713,4081.45,0.96,3505.45
Metal Craft,Beads,495,1066,17.05,2.35,2146.59,2471,2639.7,0.7,3840.56
Cane Furniture,Brass,1214,411,31.23,3.62,512.89,644,749.98,0.83,2911.57
Bamboo Basket,Brass,803,142,32.44,0.16,2059.53,2271,2598.58,0.64,2738.62
Cane Furniture,Brass,993,839,28.58,0.24,3411.03,3672,3856.01,0.92,4869.66
Embroidered Cloth,Brass,1320,716,57.52,2.52,676.65,750,857.2,0.51,3532.05
Jute Bag,Cane,767,1090,48.32,1.33,1861.85,2153,2484.35,0.88,4170.79
Jute Bag,Beads,203,364,17.15,0.29,1941.83,2063,2242.57,0.74,2167.78
Metal Craft,Wood,710,148,22.95,4.21,1052.02,1282,1632.66,0.96,2167.18
Metal Craft,Cotton,454,511,47.92,2.43,1350.19,1572,1730.95,0.4,2580.99
Terracotta,Bamboo,320,470,30.3,0.57,3213.75,3504,3970.2,0.75,3217.01
Metal Craft,Brass,1077,339,53.17,2.74,2802.97,3469,4449.87,0.51,4297.61
Terracotta,Silk,1399,729,17.44,1.59,2963.06,3538,4495.68,0.24,5091.97
Bamboo Basket,Silk,469,800,27.88,3.82,1620.36,1999,2261.52,0.77,3206.57
Embroidered Cloth,Bamboo,553,1095,26.63,2.99,2437.11,2950,3403.17,0.8,4305.99
Pottery,Terracotta,1026,59,31.5,1.87,1402.54,1733,2129.17,0.81,2735.9
Terracotta,Wood,1154,538,29.68,0.88,2552.92,3317,4149.17,0.3,4173.56
Handmade Jewellery,Cane,558,362,20.07,4.05,2081.53,2674,2950.35,0.73,3135.29
Cane Furniture,Jute,1012,1173,48.24,3.7,1571.95,2087,2599.45,0.3,4521.63
Handmade Jewellery,Jute,1343,723,29.07,1.25,3006.37,3536,4337.07,0.63,4784.92
Handloom Saree,Silk,1049,574,57.88,3.6,670.08,808,875.01,0.89,3256.45
Bamboo Basket,Bamboo,477,1095,42.0,4.0,2206.95,2716,3486.87,0.88,4157.47
